Dia,"Nome do conjunto de anúncios","Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
2026-09-10,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",12,559,1.07334526,0.39333333,4.72,�,�,�,600,7.86666667,11,0,0.42909091,1.83333333,10,1.66666667,0.472,,,0.27166667,0.32432432,,,,,,,,1,2026-09-10,2026-09-10,
2026-09-10,"Aberto - Lins 17km [18+][H-M] � V3",active,adset,"Clique de 7 dias ou visualização de 1 dia",,,702,1.16381766,,9.79,�,�,�,817,11.98286414,2,0,4.895,0.24479804,10,1.22399021,0.979,,,0.13463892,0.37179487,,,,,,,,0,2026-09-10,2026-09-10,
2026-09-10,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",1,1889,1.24192695,33.92,33.92,�,�,�,2346,14.45865303,16,0,2.12,0.68201194,31,1.32139812,1.09419355,,,0.28346121,0.22868217,,,,1,,1,1,0,2026-09-10,2026-09-10,
2026-09-10,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,1309,1.22841864,9.60666667,28.82,�,�,�,1608,17.92288557,20,0,1.441,1.24378109,34,2.11442786,0.84764706,,,0.16542289,0.39759036,,,,3,,,,0,2026-09-10,2026-09-10,
2026-09-10,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1253,1.34796488,24.3,24.3,�,�,�,1689,14.38721137,9,0,2.7,0.53285968,20,1.18413262,1.215,,,0.00473653,0.5,,,,,,,1,1,2026-09-10,2026-09-10,
2026-09-09,"[LINS 17KM] [H-M]",active,adset,"Clique de 1 dia","Visitas ao perfil do Instagram",12,657,1,0.41916667,5.03,�,�,�,657,7.65601218,10,0,0.503,1.52207002,10,1.52207002,0.503,,,0.20243531,0.6,,,,,,,,0,2026-09-09,2026-09-09,
2026-09-09,"Aberto - Lins 17km [18+][H-M] � V3",active,adset,"Clique de 7 dias ou visualização de 1 dia",,,956,1.18200837,,12.43,�,�,�,1130,11,3,0,4.14333333,0.26548673,11,0.97345133,1.13,,,0.14955752,0.30088496,,,,,,,,0,2026-09-09,2026-09-09,
2026-09-09,"Personal | Lins 17 KM | 18+ a 55 | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,1442,1.30582524,6.4225,25.69,�,�,�,1883,13.64312268,19,0,1.35210526,1.00902815,37,1.96494955,0.69432432,,,0.26712693,0.24873096,,,,4,,4,4,0,2026-09-09,2026-09-09,
2026-09-09,"Natação | Lins 17 KM | 18 + | Homens e Mulheres",active,adset,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",3,1721,1.26321906,10.53,31.59,�,�,�,2174,14.53081877,23,0,1.37347826,1.05795768,34,1.56393744,0.92911765,,,0.12925483,0.34482759,,,,3,,3,3,0,2026-09-09,2026-09-09,
2026-09-09,"LINS 17 KM | H-M | 18+",active,adset,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1777,1.38041643,20.09,40.18,�,�,�,2453,16.37994293,11,0,3.65272727,0.44843049,29,1.18222585,1.38551724,,,0.10476967,0.41176471,,,,,,2,2,1,2026-09-09,2026-09-09,
