"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Configuração de atribuição","Tipo de resultado",Resultados,Alcance,Frequência,"Custo por resultado","Valor gasto (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões)","Cliques no link","Cliques na loja","CPC (custo por clique no link)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos)","Visualizações da página de destino","Custo por visualização da página de destino","Taxa de impressões para reproduções de vídeo por 3 segundos","Body Rate","Cliques para abrir a experiência instantânea","Cliques para iniciar a experiência instantânea","Cliques de saída da experiência instantânea",Leads,Contatos,"Novos contatos de mensagem","Conversas por mensagem iniciadas","Seguidores no Instagram","Início dos relatórios","Encerramento dos relatórios","Resultados (iniciais)"
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-10,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,683,1.17130307,,9.64,�,�,�,800,12.05,2,0,4.82,0.25,10,1.25,0.964,,,0.1375,0.37179487,,,,,,,,0,2026-09-10,2026-09-10,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-10,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1223,1.32788226,23.65,23.65,�,�,�,1624,14.56280788,9,0,2.62777778,0.55418719,20,1.23152709,1.1825,,,0.00492611,0.5,,,,,,,1,1,2026-09-10,2026-09-10,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-10,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",12,546,1.07142857,0.38333333,4.6,�,�,�,585,7.86324786,11,0,0.41818182,1.88034188,10,1.70940171,0.46,,,0.27863248,0.32432432,,,,,,,,1,2026-09-10,2026-09-10,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-10,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",4,2883,1.33472078,15.3175,61.27,�,�,�,3848,15.92255717,35,0,1.75057143,0.90956341,60,1.55925156,1.02116667,,,0.23700624,0.27002967,,,,4,,1,1,0,2026-09-10,2026-09-10,
"TRAFEGO AO PERFIL [17KM] [H-M] [MINI-SERIE]",2026-09-09,active,campaign,"Clique de 1 dia","Visitas ao perfil do Instagram",12,657,1,0.41916667,5.03,�,�,�,657,7.65601218,10,0,0.503,1.52207002,10,1.52207002,0.503,,,0.20243531,0.6,,,,,,,,0,2026-09-09,2026-09-09,
"FORMS [ABO] [FRIO] 22.06.2026",2026-09-09,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Leads (formulário)",7,2899,1.39944809,8.18285714,57.28,�,�,�,4057,14.118807,42,0,1.36380952,1.03524772,71,1.75006162,0.80676056,,,0.19324624,0.27816901,,,,7,,7,7,0,2026-09-09,2026-09-09,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-09,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",2,1777,1.38041643,20.09,40.18,�,�,�,2453,16.37994293,11,0,3.65272727,0.44843049,29,1.18222585,1.38551724,,,0.10476967,0.41176471,,,,,,2,2,1,2026-09-09,2026-09-09,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-09,active,campaign,"Clique de 7 dias ou visualização de 1 dia",,,956,1.18200837,,12.43,�,�,�,1130,11,3,0,4.14333333,0.26548673,11,0.97345133,1.13,,,0.14955752,0.30088496,,,,,,,,0,2026-09-09,2026-09-09,
"GM | ENGAJAMENTO | WHATSAPP | CONTRATAÇÃO",2026-09-08,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",1,1085,1.22672811,12.35,12.35,�,�,�,1331,9.27873779,4,0,3.0875,0.30052592,20,1.5026296,0.6175,,,0.1322314,0.38655462,,,,,,1,1,0,2026-09-08,2026-09-08,
"ENGAJAMENTO [WHATSAPP] [ABO] 22.06.2026",2026-09-08,active,campaign,"Clique de 7 dias ou visualização de 1 dia","Conversas por mensagem iniciadas",6,1520,1.45592105,5.60166667,33.61,�,�,�,2213,15.18752824,10,0,3.361,0.45187528,21,0.94893809,1.60047619,,,0.08947131,0.49019608,,,,,,2,6,0,2026-09-08,2026-09-08,
